p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[0.86063492862355, 0.1800332452285409, 12.848622692428222, 12.912806197264786]","[-2.5394620504080088, -0.9084210927305788, 6.586154444776235, 7.1177728518540135]","[0.5326138497465052, 0.8178794221643244, 1.9853101631774785, 2.214774101149241]","[1.1462132720379519, -0.08949157466228677, 7.611332328255179, 7.754646849731965]"
"[-1.8076950522926878, 0.6249628812079527, 4.825338673581436, 5.274712093158818]","[-0.24567050220507874, -1.1152796299980863, 2.814936384083112, 3.03961068364705]","[2.338934225825521, -0.03989538974358553, 16.727989637843777, 16.89109250142316]","[-0.28556867132774616, 0.5302121385337145, 4.663154933128806, 4.794584721771002]"
"[0.705910377677799, 0.9976697322645934, 3.634734461479271, 3.947822603339608]","[0.33931025938242354, 0.6628368374514675, 6.4165758736378065, 6.460502587285266]","[-2.4586508089344683, -1.8117688972804842, 13.957642575982394, 14.288261623768914]","[1.4134301718742293, 0.15126232756441405, 5.022466717537712, 5.303413185606289]"
"[-0.6275056676341587, -1.0935385541067828, 6.70920987175643, 6.890822982887376]","[0.23922030559858398, -1.2056803785489933, 13.992854769191649, 14.047136353523525]","[1.207841864429204, 1.1435961938557637, 5.637502694025801, 5.878715375163301]","[-0.8195565023935931, 1.155622738800011, 2.6918522936632394, 3.183325288425814]"
"[-0.24901686685802954, 0.9397002331615213, 8.973018210123017, 9.074164207978985]","[0.20559225578915363, -2.7072262534334905, 6.9036342966105, 7.419074893625268]","[-1.0046551550080327, 0.3895588141815371, 5.242634926616202, 5.353267472948723]","[1.0480797660769117, 1.3779672060904422, 7.912132195287357, 8.153493425446987]"
"[1.3386457743219593, -1.3407645459930473, 6.185264809344638, 6.536625825653715]","[0.9631226642255769, -0.17364073509880745, 9.215298347796907, 9.267720519259468]","[-2.1383111708699256, 0.6546586469047281, 11.437768217118059, 11.654812654389355]","[-0.16345726767758423, 0.859746634187116, 2.1930882543775345, 2.540841000697485]"
"[-2.309466804262582, 0.2472259266760381, 10.807473402023183, 11.093989059857332]","[-0.2060997869288556, 1.2817839049518314, 3.1518240462483953, 3.4103673603644657]","[1.3681575392286671, -0.961410576220385, 10.969344552560845, 11.0965692389124]","[1.147409051962762, -0.5675992554074869, 4.102777627804684, 4.399074340865798]"
"[0.4314516222942494, -0.7778563388533863, 1.6691192301287092, 2.1112849965469342]","[1.2659309780053192, -0.568285510703586, 6.078603783414705, 6.235873413681254]","[-1.836405831064432, -0.49352834036198523, 10.83654191536955, 11.002625182002387]","[0.13902323076485879, 1.8396701899189487, 10.447154699724189, 10.650216407769465]"
"[0.028083810825446753, 0.04437457177990107, 6.095886340356951, 6.167896109986418]","[1.3429265871815466, -0.7827354500555584, 2.6373711133434945, 3.063171004987391]","[0.6184305648073709, 1.8269654853468644, 8.216285275421901, 8.440306071951149]","[-1.9894409628143672, -1.0886046070712088, 12.081876899514754, 12.328626813075033]"
"[0.3032515115666122, -0.8951140920787393, 10.196378484802741, 10.282980077216799]","[1.3963504279178078, -0.8965329698640062, 11.645527784023502, 11.76363238396316]","[0.192063586291149, 1.0882945083907465, 1.7058638426300692, 2.03529074599407]","[-1.8916655257755632, 0.7033525535519997, 5.483649517180808, 5.91809679282598]"
"[0.04211464418834995, -0.1179795718321881, 2.4540342401245763, 2.6302720810426874]","[-0.23149390088692445, 2.180929782330722, 11.600084461064732, 11.806064850677572]","[-0.765836959059347, -0.8381151262300128, 12.154654069229586, 12.208018773260473]","[0.9552162157579294, -1.224835084268531, 2.822646858218034, 3.3556442950190855]"
"[1.1842601267106836, -0.9067000265868178, 2.5212342084866375, 3.075963794643328]","[1.219766639826525, -0.48686199381211476, 5.656642446879784, 5.808066170547516]","[-1.3666759975567846, 1.2554377685451623, 9.941448243399838, 10.113727505828365]","[-1.0373507689804238, 0.13812425185377036, 10.912094729870821, 11.002242528980762]"
"[-0.99373199099028, 1.228016090962849, 12.541316818526386, 12.67519264856428]","[1.4208818107703722, -1.7408533757095233, 11.634470720877681, 11.849959838067864]","[-1.1448296524545274, -0.10021046714834976, 2.7696291808648095, 3.0004477138132453]","[0.7176798326744342, 0.6130477518950309, 2.0860029083682035, 2.4743997995545817]"
"[1.0583596346273725, -0.7258930116244479, 6.678627252338328, 6.865235764501755]","[-1.096290460537794, -1.0917077519448324, 15.627658346977451, 15.704411724491326]","[-1.052089026320783, 1.0627042097373738, 3.7904873497721696, 4.076173391607011]","[1.0900198522311988, 0.7548965538319065, 2.934646679549136, 3.3541791193998822]"
"[-1.253354630087985, -0.30942124567635515, 13.68392549245209, 13.776676325043102]","[0.36072414513075934, 2.162057533816806, 4.728337935647778, 5.212768739841066]","[1.020358271988617, -0.6453063220543317, 6.561502093338385, 6.6724826403930715]","[-0.1277277870313912, -1.2073299660861192, 4.057654107198861, 4.338072294722764]"
"[-0.5397519719088553, -1.3935015916206441, 8.880538256683241, 9.054142308989151]","[0.985524240302333, 0.4751521747978838, 1.2987801819133629, 1.7014761800664617]","[-1.5805276345950707, 1.4956068678626018, 8.633757869172062, 8.904372300357334]","[1.1347553662015932, -0.5772574510398424, 10.218343320868444, 10.34000921058705]"
"[-2.5904671571278035, -0.11324788447749964, 11.013526008314688, 11.353477645959606]","[2.510878812395519, 0.8893097854975832, 9.185562241478909, 9.564575349181244]","[-0.48626641431358586, -0.8764369765958524, 4.579261299088342, 4.688858545309948]","[0.5658547590458638, 0.10037507557576879, 4.253070079755142, 4.39308845954917]"
"[0.24326824766517657, 0.9481171743212491, 1.6929898917380202, 2.169026218392969]","[1.4279888536060708, -1.0661612907177316, 20.142995774303554, 20.22195080699246]","[-1.171121734058636, 0.08880800220767998, 5.3553135364762365, 5.483608270488532]","[-0.5001353672126007, 0.029236114188761597, 1.840120426119337, 2.1254147041260785]"
"[-1.03536852119348, 0.18954807565527537, 6.010771734119139, 6.17394911165719]","[0.1522872112089727, 1.1893045798133752, 18.904514614168924, 18.942794756544064]","[0.4252297064890873, 0.3044516980232133, 0.38170403687468357, 0.6560279905922037]","[0.4578516034954158, -1.6833043534918737, 3.7344292434743522, 4.227228141206532]"
"[-1.142987722694152, -0.04266991400856437, 2.3366767337641283, 2.765620031727]","[0.5306012181482275, 0.8002470667440474, 2.5143984484231905, 2.6935657019886827]","[-0.08879525843838787, -2.2714017284866745, 13.413026581212774, 13.604690224013844]","[0.7011817629843089, 1.5138245757512019, 10.767317865237015, 10.936124042270473]"
"[-2.278874548270884, 0.10559132890596017, 11.852531327165867, 12.106497096308626]","[-0.7922164053269178, 0.32533244320570354, 3.046346959339416, 3.1662030006163224]","[2.5322903760440583, -1.1368168912132994, 10.843638058325464, 11.19377046154162]","[0.5388005775537363, 0.7058931191016389, 3.288903283806353, 3.533529441533422]"
"[0.5067586976054915, -0.6154709236086786, 1.6135715626091418, 2.029673956341619]","[1.906353989719027, -0.005332010582611901, 6.862174166769472, 7.12283734704765]","[-0.7918039644566623, -0.4485263494671718, 11.584039165311632, 11.620208965450384]","[-1.621308722867832, 1.0693292836584527, 8.971634733946859, 9.227279731160344]"
"[-0.72091530623527, -0.28716347327267083, 11.165238168726304, 11.2314326534736]","[-0.8254511930797599, 1.0855327681471434, 7.2987521157384645, 7.425812893066906]","[-0.48542803117035854, -1.231066699769649, 1.5457303902601547, 2.0375504030736216]","[2.0317945304854006, 0.43269740489517805, 9.021698953912164, 9.30520405038585]"
"[0.04423545748708035, 0.12316775915333439, 15.60960367228899, 15.638324981420354]","[-1.4192132222057636, 1.07850693676929, 2.8534728451587443, 3.366127489232319]","[0.29958633488359654, -1.4220955403696929, 3.690840479196871, 3.968069398817332]","[1.0753914298350857, 0.22042084444706794, 6.877502631992504, 7.0274781305299925]"
"[0.3761620657928721, 1.1426654117173598, 2.5653054676130846, 2.9846823333524695]","[-0.8309974970767126, -2.3390322503895535, 18.79683367174498, 18.960320366616173]","[0.2821978095998313, 0.02250262857907584, 0.07473247585990377, 0.3112724336462538]","[0.17263762168401228, 1.1738642100931305, 7.594548013419084, 7.743724866385042]"
"[0.7631060378247281, 0.9123753771762144, 3.9432908637204744, 4.22429364932498]","[0.010612319247815055, -0.6536150932953422, 0.21445451275680713, 0.6960457330585799]","[1.0429907430044987, 0.2719498837172836, 9.499164727849159, 9.560705024684346]","[-1.816709100077043, -0.5307101675981555, 15.374509524310652, 15.518955592932075]"
"[-1.1907062211165695, 1.7049939947872668, 9.936529884320779, 10.195085400095982]","[-0.14181462135420667, -1.3088789469728206, 1.2564687308175206, 1.8229516639627898]","[0.1170781294142943, -0.35039706622667677, 9.199983068764766, 9.208003989515305]","[1.2154427130564818, -0.045717981587769074, 8.638437944734044, 8.773958946425921]"
"[0.5733681500329952, 2.0449900366781164, 11.324238448214443, 11.559821195139104]","[0.3511440444726327, -2.290036002994386, 7.803123614000077, 8.140483326148928]","[-1.635357305317494, 0.1679821991875987, 5.8376738718903685, 6.0656583635096615]","[0.710845110811861, 0.07706376712866422, 4.066383694532255, 4.234037115202342]"
"[1.5540563800169231, 1.3077243128651548, 5.829274828030403, 6.243879681529971]","[-0.8962084821059364, -0.9643162821020821, 2.6989070954658474, 3.0047227256846334]","[-1.0063353457483977, 0.3391747856966294, 17.19877407513545, 17.231852589430716]","[0.34848744783742724, -0.6825828164596969, 3.304463630005354, 3.519545003354618]"
"[-0.6289690905122508, -0.24413937204368447, 6.816668549304068, 6.913937417048039]","[-1.1962037314087604, 0.9402294519853966, 3.4201379008739274, 3.7447886006255837]","[1.7117442654573618, 0.016062389593645587, 2.670592579002832, 3.1738863821306866]","[0.11342855646364958, -0.7121524695353578, 16.12402059945628, 16.167387600195685]"
"[0.5458636308497736, -0.9457066913914525, 2.208587330002949, 2.636387792010238]","[-1.6840599312061268, 1.2961142190731505, 7.06847307799274, 7.381764368228625]","[-0.18904493504257594, -0.583069275803841, 13.53837540025111, 13.552655823082796]","[1.3272412353988967, 0.2326617481221554, 6.215983820390424, 6.429192016678455]"
"[-0.6714610747432534, -0.4353523915835479, 7.8901787198558155, 7.985966832951563]","[-0.8407176213969987, 1.5766295524365068, 7.92238814183868, 8.122066507204536]","[1.1327928567675902, -0.5344838687328313, 12.381210441371854, 12.444855494089865]","[0.37938583937266745, -0.6067932921201074, 0.8376423255708065, 1.4471111657540785]"
"[0.857235664095331, 1.3735168779696694, 11.234492388914907, 11.389274567786812]","[-0.5273438482519011, -2.311311405536188, 9.715321619091087, 10.000944441551182]","[-1.3091741968235455, 0.5403862284369636, 2.7634943721167016, 3.1070917448954702]","[0.9792823809801197, 0.39740829912955955, 5.318111248514393, 5.502689245766514]"
"[1.5235731146842297, 0.6079108197616796, 3.709691531860498, 4.163291511306096]","[-2.354973175257342, -1.7215079322342446, 18.157960511767023, 18.391089738696333]","[0.44837139542268756, 0.3743822717022621, 1.0656739599451528, 1.2198457260930233]","[0.38302866515043243, 0.7392148407703082, 6.098093625064414, 6.225773023904521]"
"[1.2083958318127819, 0.6528423998468276, 10.609693424914562, 10.739291066082508]","[-1.7746188947993153, -0.8398933988468786, 2.5624655333061073, 3.229874047939185]","[0.8821228956502949, -0.5087671404561908, 4.956759993165432, 5.061384993166179]","[-0.3158998326637623, 0.6958181394562409, 10.902500677251005, 10.969449892812126]"
"[0.10927935497939484, 0.0613132396255502, 6.081000391094324, 6.154236052773034]","[1.5943695556926392, 1.4979914747084897, 4.794811853335205, 5.27137335618211]","[0.5267102726121624, -0.5987474313365917, 9.544865737906209, 9.578702822690929]","[-2.230359183284196, -0.9605572829974481, 8.610741646301337, 8.995687768353893]"
"[0.9651897890672371, -0.3725100707342905, 2.355447280313296, 2.738401233938778]","[0.9194425337087553, -0.863075264726394, 11.752824396684678, 11.820757945142349]","[-2.0398822408474517, -0.0036397445601472622, 11.474715042742252, 11.655101103352328]","[0.15524991807145827, 1.2392250800208313, 3.4484329088968475, 3.785739717566515]"
"[0.025851527978675414, -0.3847094526505765, 2.640035253231169, 2.828216778951872]","[-0.4572253912006645, 0.05771428416061972, 0.043632818037572366, 0.4748193685273101]","[1.1800567243174351, 1.8251857561475189, 9.82634451412021, 10.064395016104788]","[-0.7486828610954455, -1.4981905876575599, 16.521407043248153, 16.632568836416024]"
"[-0.8715627508264231, -0.4662551286155398, 7.448412986917506, 7.572068795464935]","[2.8314200774997778, -0.017841381097661535, 7.550374138533072, 8.064525479837073]","[-0.466888338455287, -0.6988343945289691, 5.791768090776258, 5.853383249186771]","[-1.4929689882180601, 1.1829309042421683, 8.240864412410268, 8.510022475511217]"
"[0.7424224845946815, -0.039059749472029094, 13.374017301672732, 13.427487104484074]","[-0.4448794936561309, 0.03694460338273861, 0.11170530404351789, 0.4721486582743788]","[-0.8605419207396847, -0.6559360209365293, 14.21369828158786, 14.25521542853317]","[0.5629989298011352, 0.6580511670258204, 1.331998741333023, 1.8451488087083971]"
"[-0.24093745678832437, 1.856219238285018, 6.316043085190869, 6.654048040000494]","[0.14782158963639677, -2.022656256689146, 20.759938309916162, 20.859031420456105]","[0.08791536622205301, 0.5163172602374484, 0.720493884464306, 0.8969881132721493]","[0.005200500929872662, -0.3498802418333069, 1.2349443490657022, 1.5899324262711803]"
"[-0.0007014600594053011, -1.2901393379825257, 6.940323188040589, 7.121299060136014]","[1.145393406363644, -0.6520899682911343, 2.2114464044042483, 2.57658809176083]","[0.07608770592342343, 0.08426489173146559, 13.184150447092176, 13.185062629183676]","[-1.2207796522276584, 1.857964414542193, 6.695499589100117, 7.117050218919495]"
"[-0.0995102809381782, 1.933496151087185, 12.527830486711379, 12.71122341523586]","[-1.3351476938011728, -0.3739557004755598, 1.651366628484522, 2.158850987172828]","[1.1557934923189803, -0.15121378948397468, 6.0183241829652285, 6.131077702267776]","[0.2788644824203725, -1.4083266611276448, 8.83389833047598, 8.998847895323536]"
"[0.39426626764901995, 1.3746205338369375, 14.278763392323217, 14.380836758053604]","[-0.4282196482529495, -1.0265530788848078, 1.139403799977883, 1.595803221981269]","[-0.8190187955165005, -0.23129956161239662, 11.661139916026894, 11.69263182644229]","[0.8529721761204295, -0.11676789333973264, 1.9521125203090932, 2.330728193522817]"
"[-1.0447870912401458, 0.12392595593823995, 4.102905778487605, 4.338332384881111]","[2.5095824833445297, -0.3208389200511972, 4.831417246607644, 5.45478671233909]","[-0.24617568926759537, -0.304843620460463, 6.733713744621148, 6.745931848928328]","[-1.2186197028367887, 0.5017565845734205, 13.363382858920694, 13.46094905385145]"
"[-1.9802238227076505, -0.3153802888225437, 8.366037265798441, 8.653998208533958]","[0.7100326281233924, 1.047132943309217, 8.249242778543675, 8.346364703646863]","[1.6190322314735306, -1.7194964514334723, 6.43895428595815, 6.859244078079253]","[-0.34884103688926704, 0.9877437969467975, 5.977185298336859, 6.140393009739942]"
"[0.5491622637516719, -0.736600044570467, 3.034469184015518, 3.3064356023237282]","[-1.6957175368919444, -0.1863812101291119, 9.87551529219671, 10.02233315250432]","[0.8332539439255991, -1.3320635642327425, 3.9333098049710653, 4.2368378667432545]","[0.31330132921467935, 2.2550448189323316, 12.188125347453791, 12.434393378428672]"
"[0.3558668001925152, 0.6090082969286227, 2.8256546574885992, 3.0597730103029166]","[-1.9755413093764829, -2.3375177747171922, 15.737514406621077, 16.03269397586512]","[0.27709222149850576, 0.31964999969947233, 0.3441764595478649, 0.555497317539654]","[1.3425822876854692, 1.4088594780891062, 10.124074104979522, 10.352035696292258]"
"[-0.9108397514225309, -0.9310892426301046, 4.617568131261398, 4.888644599818832]","[-0.23901461388329875, 0.7509998632189662, 7.725839584999398, 7.766652411838215]","[0.5363184723429496, -2.0559364481871367, 5.93964824997495, 6.309128079945366]","[0.6135358929628798, 2.2360258275982754, 10.748363662401374, 11.035574908397596]"
"[-0.5338088085974732, -0.8701199310606185, 12.403531436909969, 12.480785511776215]","[0.7630107301144063, -0.14500282721020596, 0.9401625096592239, 1.2240426265867557]","[-0.4035216278266566, 1.8310149149575101, 14.303886422677591, 14.426634248110162]","[0.1743197063097261, -0.8158921566866724, 1.383839259390335, 1.868537613526879]"
"[0.33475991201426397, -1.56657215905126, 5.536432132222228, 5.839404732410067]","[-0.6852404888039567, 1.1649478323692035, 17.129702397558574, 17.183262956188674]","[0.23620875340865538, 1.4164779234981968, 2.729462856984941, 3.0859901787868713]","[0.11427182338103226, -1.0148535968161108, 3.635822241871503, 3.8913421326145228]"
"[0.21079008920648357, -0.5139904903230398, 5.009943797430586, 5.127232185619]","[-0.4865229263617028, -1.556214925225827, 4.202130841261606, 4.508611390596572]","[0.4071179731271756, 1.218638664903166, 1.4089660483165314, 1.909757622818365]","[-0.13138513597195575, 0.8515667506457038, 18.410378941628387, 18.45439880096606]"
"[-0.5940595288989399, -0.6819237877981401, 7.013808424213003, 7.13384817148402]","[2.4918158228591882, 1.6731126391125206, 8.662306604861751, 9.168160738545382]","[-0.7858344589271162, 0.4477903702188797, 5.774489686636336, 5.845848678039095]","[-1.111921835033133, -1.438979221533261, 7.580814912926002, 7.852142411931484]"
"[0.19625104544995392, -0.8008230170818812, 2.1440798325111734, 2.4813836163909575]","[-0.006371823406473798, 2.2005520578735265, 12.392257138040504, 12.586567067625104]","[-1.488220671743548, -0.5765704662693816, 9.227107830664153, 9.364716589520828]","[1.298341449700088, -0.823158574522286, 5.267974827421248, 5.5673327264630785]"
"[-2.1910342042470123, -0.4690442263388641, 11.324947953985994, 11.582548677942937]","[2.5318090651886838, -0.5543837590737397, 6.202095090318316, 6.722688868095183]","[0.04308802272652326, 0.9468982980802204, 7.623737903629013, 7.683164465297056]","[-0.3838628836681896, 0.07652968733238433, 3.880638680703822, 4.011597988664859]"
"[-0.6153415511054352, -0.49699018275679946, 2.4566684774369514, 2.746127968666039]","[0.3827772134919516, 2.701970990878104, 17.11815492814695, 17.334634619389043]","[-0.18548116953308888, -0.32884244493051706, 0.2444070318993799, 0.46199461906509853]","[0.4180455071465705, -1.8761383631908126, 9.21218919115375, 9.457242792879736]"
"[-0.9645736285753596, -0.8752178781290197, 4.999195197423596, 5.250591927303705]","[1.146296831798805, 0.6910862729201054, 3.967956289699217, 4.188966148483197]","[-0.6957266330041559, 0.4296514907062072, 19.044028765628777, 19.061868512567116]","[0.5140034297807051, -0.24551988549730688, 1.0202393758854686, 1.498573411645924]"
"[0.6563451401937395, -0.19551692801945475, 2.177062019471312, 2.467583675340435]","[0.28703241090456916, -0.13639929420680982, 7.043974701734184, 7.051931337158992]","[-2.3058890240886734, 0.029715945723906262, 4.311420968970001, 4.890554325787733]","[1.3625114729903602, 0.3022002765023577, 15.4989619384616, 15.589930661712827]"
"[-0.18984027848903218, 0.058299683144649124, 6.356451074654496, 6.428395040354307]","[-2.7977822249721136, 0.6836542878785151, 8.488543463663158, 8.964457725438116]","[0.7916284241013947, 0.3021716632331951, 4.223233012964553, 4.308693998262585]","[2.195994079359752, -1.0441256342563598, 9.963192077354895, 10.298453235944983]"
"[-1.8361406588186033, -1.3829235206523314, 7.844251543113769, 8.22778989769227]","[0.8065392588275261, 0.4016907768968018, 0.6647524628144544, 1.124686847996319]","[1.0552477439935026, 0.4545813641688432, 12.519737149488542, 12.572794992486772]","[-0.02564634400241586, 0.5266513795866908, 8.00267847322036, 8.074728261824655]"
"[1.078750413391838, 2.124501536340604, 10.94482889594802, 11.240411164182092]","[-1.2447582414926006, 0.3196295030398673, 10.589302835614987, 10.667524748333365]","[0.40058626671201947, -1.777879347871966, 5.2159707445241805, 5.526195685402756]","[-0.23457843861125965, -0.6662516915085088, 2.2813171525499327, 2.5658684020817932]"
"[0.1404755839336477, 0.47660215650025173, 2.770207580692734, 2.966696376674512]","[-0.5922760578063856, -0.17992597499526533, 5.78156351900152, 5.815565718168949]","[1.3928194086813868, -0.554105983854844, 1.2901573850088313, 1.9805678573581211]","[-0.9410189348086508, 0.25742980234985924, 19.18949114393402, 19.237170047798415]"
"[-1.3102348940806188, 0.5949327189688571, 2.0468915526393303, 2.672223754107499]","[-0.426884620967311, 1.070161547003696, 4.5533952170729535, 4.698089806733221]","[1.4067533140178163, -1.3269065422599764, 15.078405312025797, 15.202273061127542]","[0.3303662010301506, -0.3381877237125863, 7.352727546899084, 7.42741337803179]"
"[2.262793521814964, 1.1527443303035394, 9.84755627462567, 10.212921861118792]","[-0.47440593963642413, -1.2904576565665384, 2.0838967612849357, 2.498825981058178]","[-1.267374033027723, 0.04138531844962112, 12.460306358787935, 12.525108696214623]","[-0.5210135491508193, 0.09632800781337608, 4.63966023393857, 4.76314346160841]"
"[-0.2639360120070132, -0.15705550220849027, 7.7153364042958295, 7.7782452279832786]","[-1.37997340222643, -0.12103580618055954, 5.082565517692699, 5.26902382911987]","[1.202827411358525, -0.27012245957351844, 15.542147375092421, 15.591320295816445]","[0.4410820028748929, 0.5482137679625112, 0.6913703315561239, 1.3614106470803726]"
"[-0.49156442953545876, -0.6420596779462973, 2.8878536620296154, 3.1422809132397567]","[2.1218009031902376, -0.890924853390646, 13.298623187417734, 13.496678423266099]","[0.25557478506310544, 0.9709333187777494, 1.4970589268131989, 1.8056519663511885]","[-1.8858112587178972, 0.5620512125591934, 11.347883852376516, 11.555388697142908]"
"[-1.0103062349703944, -0.49614414569852483, 2.3564708073447305, 2.7749210283506986]","[1.47050269594055, -0.21134992122143853, 7.811232156873607, 7.95195311791443]","[-0.6628275067094833, 2.124940499119373, 9.946168079779948, 10.192749163628326]","[0.20263104573931284, -1.4174464321994442, 8.917548584638652, 9.080376690106373]"
"[-0.7451414270012797, -0.6656691018574076, 1.179899228743201, 1.8085540178203008]","[-1.052200574784388, -0.8543444106700024, 10.478491815117424, 10.5663136785762]","[1.56181959364587, 0.7709622177230034, 9.895471677850296, 10.048143436692865]","[0.2355224081397705, 0.7490512948044111, 7.47755690692612, 7.576988866910565]"
"[0.8691217825140514, 0.701461821726707, 3.7585171961996884, 4.031653162201992]","[-2.1305952164519075, 0.3030536419993104, 12.70329661547779, 12.884726850037229]","[-0.00011636514552748611, -1.822946712380181, 7.253120055377133, 7.479441749248171]","[1.261589799083379, 0.8184312486541595, 5.316485761582474, 5.604178238512584]"
"[-0.22671078493824287, 0.16904529338725152, 10.48549532229642, 10.531188944801428]","[-0.13507708684674466, -1.1842676701059152, 3.8014093514957716, 3.985299537607255]","[1.2068072208986018, 1.3200987633504444, 2.049667266068751, 2.7223783587095545]","[-0.845019349113616, -0.30487638663178107, 12.694847688776168, 12.761133158881762]"
"[-0.7993342962382736, 0.12230522465704952, 5.130607822369859, 5.278009554563911]","[-0.5605040172746596, -0.30346673729752555, 10.768610979713765, 10.787974919298012]","[1.7378967796774771, 1.6986067304874854, 10.158258120999106, 10.445425874873603]","[-0.37805846616454997, -1.5174452178470168, 2.973942705554368, 3.488589651264462]"
"[-2.131510248078469, -0.3720278354653348, 10.34774661509636, 10.613102986603247]","[2.382451277588979, 0.9788055785832788, 5.465828891523926, 6.043226252187881]","[-0.5522225568559993, 0.08838493627446739, 5.868952718588559, 5.896484654033524]","[0.3012815273454895, -0.695162679392411, 7.34889140342827, 7.447186107175354]"
"[-0.620469477999833, 0.6264544137990983, 7.223669756996345, 7.3375191045628885]","[0.07575044590918456, -1.5724455085930384, 10.635076495405968, 10.751480767022297]","[1.5071396848585943, -0.5579740633783838, 2.2739719806735037, 2.7865601136402605]","[-0.9624206527679426, 1.5039651581723197, 8.898701395561309, 9.124440014774569]"
"[0.5344783750341847, 0.8543334281232938, 5.966233830245098, 6.123059137631546]","[1.5720788166504518, -1.8001146935497694, 8.582629860827764, 8.90980042742997]","[-1.2695146615543162, -0.6588576851268992, 9.083656696725528, 9.1961809204736]","[-0.8370425301303186, 1.604638950553361, 5.398899240838843, 5.770959514465006]"
"[0.20970959699678673, 0.16231403156992233, 3.2340490595051654, 3.3778323855969052]","[-2.360767384579691, 0.24561732846259499, 11.622950536743357, 11.863291841166307]","[0.39889238672330374, 1.2530517767794398, 2.8283470645733635, 3.1208916389584385]","[1.7521654008596041, -1.6609831368119596, 11.346072967815205, 11.63798413427833]"
"[2.520949577189573, -0.10339772711605771, 11.639078618035562, 11.946312539168797]","[-1.305146717747312, 1.5016613288520089, 9.681077185749585, 9.883967512634857]","[-1.0064350862766303, -1.4080892575301818, 4.777807105176245, 5.082738561769349]","[-0.2093677731656294, 0.009825655794230387, 2.9334567196756973, 3.0869813864269755]"
"[0.11178096008011278, 0.0192410654686188, 7.261711253550962, 7.322954996281862]","[-0.46708273656670435, 0.19683528025671213, 5.084214981244576, 5.110510346220635]","[2.2646324794332395, -1.1358792779182951, 4.524299452681729, 5.186446871549763]","[-1.90933070294665, 0.9198029321929653, 12.161193941159835, 12.380087785947731]"
"[0.6999212952696214, -0.3715066120509936, 8.546929784098433, 8.634713085138522]","[-0.6372469019732179, 1.0096050687368279, 8.38641957768195, 8.471634019171548]","[-0.87879190036234, 0.4453015813136664, 0.3817559995266741, 1.0618238830434703]","[0.8161175070659316, -1.0834000379994955, 11.716314267330063, 11.831829012646473]"
"[-0.023035417467327977, 0.6504625329713208, 0.8107989175075883, 1.400493258774505]","[0.34203904209427516, -0.1380509856474323, 20.815974549982037, 20.819510293458364]","[0.3035238511193249, -0.9610584521408359, 2.011794416530274, 2.252607481115172]","[-0.6225274757462806, 0.44864690481696134, 5.392851744617119, 5.527388966651866]"
"[-1.2001946505898864, -0.7736492774823094, 9.21139248765223, 9.368516761548406]","[1.1247135698912296, -0.5931441774216024, 6.868034229752482, 6.985546394056973]","[-1.782356510054293, -0.012595506991972871, 4.868943991710056, 5.186013168427435]","[1.857837590752939, 1.379388961895875, 8.08304891952237, 8.459923675967211]"
"[-2.0720546506108404, -0.5816655230732553, 7.372812409277738, 7.737600559878618]","[2.2140982088792724, -0.20158731123015064, 18.493555239913032, 18.62701310858212]","[-0.5549259850884078, 0.1994116547631996, 0.8929824833391887, 1.0753088791116525]","[0.41288242681999504, 0.5838411795402062, 2.272069496107217, 2.560077452427674]"
"[-0.8082790754476518, 1.4968214148206975, 6.877846956703386, 7.146951973917998]","[-1.0898741446540974, -2.2687595013819997, 9.768320900175597, 10.087931014240135]","[0.05063617553391503, 0.9784891476502255, 3.2840158478629187, 3.428691986212931]","[1.8475170445678386, -0.20655106108891852, 9.101235923895171, 9.336425025628902]"
"[-0.23417388895542754, -2.1269470087735733, 5.205149686073772, 5.705495472683967]","[-1.560957936385576, 1.259415426151522, 7.528480108116695, 7.791783701185906]","[1.2975605866700188, 0.6929074846263059, 10.835574647916557, 10.935475564504117]","[0.4975712386709844, 0.17462409799574433, 5.462215186530063, 5.567245261625992]"
"[-1.8758204032039423, 0.6649250898586822, 14.008592435644566, 14.180332998000505]","[0.2531770922256641, 1.066634893973551, 3.7081386738190636, 3.8682379288645627]","[1.9107361278364499, -2.042499377887464, 8.790749580003249, 9.225570879364668]","[-0.2880928168581767, 0.31093939405523285, 2.5239389391702307, 2.72585819377026]"
"[0.03763079515016318, 1.9694148323471015, 4.889617317774388, 5.354318137622715]","[-0.8472050582840017, 0.0798418423779321, 12.142628145509773, 12.172867904633913]","[0.8678308724991641, -2.222366328373892, 9.54070323409537, 9.83505080489138]","[-0.05825660936532551, 0.17310965364887787, 2.4584709312576054, 2.6377631528520173]"
"[0.8732506078507392, 1.0008607751210594, 10.010203421409038, 10.141440518943096]","[0.7910125561036383, 0.6964621135016639, 2.1382268479304094, 2.3861973945236032]","[-2.0241060578724546, 0.17372615079874798, 11.624759525067311, 11.801414480374568]","[0.35984289391807356, -1.871049039421469, 5.258229834230355, 5.670947606158737]"
"[1.0958813430365233, 1.411603825410995, 17.256787082720894, 17.37442476867298]","[-0.9939923986654886, -0.6107986385125621, 7.722247237701331, 7.810592927464816]","[0.3505492803685456, -0.733443063707453, 0.22823335284908802, 0.8509274951394019]","[-0.4524382247395805, -0.06736212319098103, 3.8241519553657977, 3.964054808722799]"
