p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[-0.33029869814912843, 0.3119215269119563, 0.5768981566304721, 1.1914520964175335]","[0.7890825063842952, -0.8542416915894151, 3.288919200909248, 3.4900620614259568]","[-1.3188928440060261, 0.26172614868729993, 16.547528265876377, 16.602404471455895]","[0.8601090357708674, 0.28059401599016776, 8.618074005220944, 8.716081370700547]"
"[1.637662810849971, -1.5020927494428744, 11.493989158136978, 11.744375812418651]","[0.6714203005956648, 0.4366328386554555, 1.2905778381838064, 1.5225663286765148]","[-2.3617513730796036, 1.2262740231503337, 14.503881582090603, 14.746367759159124]","[0.05266826163397532, -0.16081411236292237, 1.742971050225655, 1.9866900997456396]"
"[-0.7785576172562731, 0.5749355686664666, 12.346303192247285, 12.419672287640488]","[0.4998385793870575, -0.5353748758345079, 6.1846029931610165, 6.228719182873689]","[0.7418372597622531, 1.11902809501218, 0.8880008873838258, 1.6131508256690132]","[-0.4631182218930362, -1.158588787844138, 9.612512555844983, 9.738457703816808]"
"[-0.7647036042532254, 1.672490009681835, 4.122859566640456, 4.610891430847851]","[-0.7131353172309294, 0.5009009270831011, 4.412351339497416, 4.498830034082573]","[1.8408562567475955, -2.01195498798593, 10.752031519814011, 11.092973453845737]","[-0.36301733526343566, -0.1614359487790125, 9.744177202685222, 9.797305081223834]"
"[-0.5659996912176736, 0.285181213468963, 7.092231864617265, 7.182046445300296]","[-1.261489109708241, -0.14311869133351499, 15.930895850497286, 15.981753469068316]","[1.2684990581291156, -0.6159642773911562, 5.220442035363953, 5.4085747206685975]","[0.5589897427967989, 0.4739017552557272, 0.7878498781585055, 1.4276253649626902]"
"[-0.6084952144133547, -0.567846408409659, 3.0956208736452395, 3.3400507344709336]","[0.041127659225781654, 2.362466571049755, 9.28131595948934, 9.577939722952765]","[1.6726950662019973, -0.30873433308504483, 8.331359863309128, 8.503878318617]","[-1.1053275110144196, -1.4858858295550454, 8.32312293219339, 8.578131223959291]"
"[-0.08601110229504724, 1.2259227078628918, 5.742773054020844, 5.947275098004446]","[2.1026588185053474, -1.6338926483970475, 6.0518662854948575, 6.6126415632481965]","[-0.9321689134207022, 0.024752962086530994, 3.510425814362141, 3.6337039785023895]","[-1.0844788027896004, 0.3832169784476283, 13.726354474759255, 13.806379360244957]"
"[1.5254633943363098, 0.9667346710323539, 13.053011913318684, 13.210718710458547]","[-1.8273538725370535, -1.4197301556204345, 4.479249254603961, 5.042786272299108]","[0.02143238828778557, 1.131920446636232, 4.222516636042935, 4.372929635770993]","[0.28045808991295706, -0.6789249620481518, 7.276641824671527, 7.373565381471346]"
"[-0.026074585114528544, -0.3605954747340658, 6.991992082725536, 7.063923598912163]","[-2.1962834045423323, -1.4286946781560055, 5.566779735030614, 6.1534567121066885]","[0.7078630746930807, 0.08897232726244364, 4.712694674778668, 4.767561317716183]","[1.5144949149637832, 1.7003178256276306, 11.75995313610229, 12.015058371264963]"
"[-0.020963359958823837, 0.7387306523721024, 3.0916930900064132, 3.3143751972268136]","[-1.0905009003088413, 0.4032322686598881, 2.6037181683628665, 2.8534716380735006]","[0.45997530941896847, 0.8055433900067417, 18.1741902941953, 18.19815468395203]","[0.6514889508487103, -1.9475063110387578, 5.161818076072521, 5.6339984807476435]"
"[-0.1872676212620312, 1.3697389066929708, 13.23362608861848, 13.338683129673232]","[-1.0312767910147749, -0.43239504553108243, 4.72026941841662, 4.852072164600268]","[1.4631730448254077, 0.11495166302519466, 1.4153267757294377, 2.041666657169235]","[-0.244628632548603, -1.0522955241870822, 9.662197345872563, 9.767578048557256]"
"[-0.4888514070687954, 0.7578652420309593, 4.698523298324184, 4.875429309727601]","[-0.9502468744727524, 0.16668116709893802, 9.551955364634226, 9.601133611966835]","[0.4877587292362382, -2.5475049517553474, 9.217119079724842, 9.575705603241774]","[0.9513395523053086, 1.622958542625447, 5.563821885953827, 5.9477314750637635]"
"[1.09206928081953, 1.0359967369126415, 10.040325297276134, 10.19580261549381]","[-0.9014919765382441, -0.31031791689915467, 8.002118493090808, 8.059407483415972]","[-0.7391903857055243, -0.6920666106106172, 0.39009618498168197, 1.0902739409629176]","[0.5486130814242343, -0.033612209402872684, 10.598879653288492, 10.654515960127306]"
"[-0.8007260373399873, 0.8648736176480379, 2.1356292230052905, 2.613510108171761]","[1.4939773897837816, 0.7887255463625441, 21.496873488854764, 21.563413223269194]","[-0.32866908819506113, -0.7634734092852121, 2.0469575574917815, 2.211812349942301]","[-0.3645822642487971, -0.8901257547253714, 3.351959359285129, 3.6112643186165925]"
"[1.8302484545924866, -1.097802195063537, 9.644898131108194, 9.922670677315802]","[-0.7405040395496166, -0.53105048735393, 9.737460456535919, 9.78057567877642]","[-1.507061226021309, 1.9918981189859615, 6.463985293045296, 6.930596016005156]","[0.4173168109784295, -0.36304543656848803, 3.1850757479477254, 3.366157627902645]"
"[-0.2517653762893301, 0.12626136565507173, 10.129860689337779, 10.177119418997208]","[-0.4923167484036382, -1.2412966576769264, 2.424225172641138, 2.769697541925761]","[-1.1933340548331657, 0.8238187070742546, 11.878199504320605, 11.966850483981002]","[1.937416179526139, 0.2912165849476013, 4.599134262337585, 5.086332555096026]"
"[-1.1875046835185394, 0.1592137879394766, 1.578767539571599, 2.192801334739986]","[0.7244060235348374, -1.4032593591667968, 6.4326887944180795, 6.624541467514463]","[0.40918936015385776, 1.5435466708562815, 11.297804684508636, 11.410588352922206]","[0.05390929982986162, -0.2995010996289592, 9.722158610138777, 9.772068844823325]"
"[-0.05572063754142773, 0.5286055187881049, 8.210627359020293, 8.281140293378552]","[1.7096341891171503, -1.5309046613336534, 10.880811584081206, 11.120689838491634]","[0.2213185142200515, 1.329573256353493, 5.681684579571093, 5.840329631403259]","[-1.8752320657958017, -0.3272741138079417, 4.258296105964476, 4.757840236726511]"
"[-1.5296438204225964, 0.5621924249075758, 6.38196263453735, 6.653245219785259]","[3.2378340862475907, -0.7633012768246459, 14.847130230380769, 15.215605084915925]","[-0.7260291495119229, -0.33309922085517213, 3.3565693775808145, 3.451926276204719]","[-0.9821611163130907, 0.5342080727722505, 4.445757386138106, 4.67922341909402]"
"[-0.6625762372347602, -0.396148076444681, 1.1637403951519953, 1.6824347303570244]","[0.3079360567149038, 1.4899799801064382, 6.091607011831371, 6.279626147765503]","[0.47472331236044807, -1.5949571471465647, 6.053121111805041, 6.278589756599509]","[-0.12008313184059122, 0.5011252434848074, 15.72295110984868, 15.759349365277938]"
"[1.0259033968092903, 1.0155296741081823, 7.885078934581877, 8.070848929892689]","[-0.9457095345413108, -1.5450476065445695, 6.321699145869701, 6.576973645535244]","[1.3734550606201688, 0.1729170526448533, 2.1786643263687413, 2.583412659757302]","[-1.4536489228881484, 0.3566008797915349, 12.64597722181679, 12.768764764814764]"
"[0.5426105479444346, 1.8402278733117776, 5.446036761601768, 5.8498320990568615]","[1.6722671894093324, -1.6837536616435878, 8.299008970595516, 8.632277651515968]","[-1.1889087912728755, -0.38775498586680845, 7.72577119647786, 7.827040451941043]","[-1.0259689460808938, 0.23128077419862836, 7.56060269996195, 7.690849797486114]"
"[0.07224123089895225, -0.2645750683805643, 7.369194201996395, 7.433747123421112]","[-1.3519698418914115, -1.143583452229126, 8.452060254443165, 8.636208179710469]","[-0.9201511039718329, 1.4444180579856372, 3.12462306007297, 3.564751668893549]","[2.1998797149642906, -0.03625953737594645, 10.085542112124585, 10.365293027974872]"
"[-0.04751160892383133, 0.7640590571366807, 3.445041726909568, 3.6516722801898833]","[1.145100670162126, -0.9355024535937998, 4.017196560653984, 4.281991616687261]","[-0.3197569962589184, 1.7955650655407176, 4.21645952208924, 4.595214135992771]","[-0.7778320649793725, -1.6241216690835945, 17.352721818984325, 17.471121967130088]"
"[1.261419602080752, -1.212314926228516, 3.4294355956420493, 3.962608956673715]","[-0.6069175443579513, 0.5684742961549571, 1.1938523028036727, 1.4587525029668296]","[-0.9277650155207726, 0.10147752744839128, 20.28420539494853, 20.30593996174578]","[0.2732629577979815, 0.5423631026251635, 4.123926335242851, 4.272698578613664]"
"[0.06478523176092887, 0.4913842827356042, 4.840900735033988, 4.955837962646731]","[-0.7490642774103884, -0.8863210906311654, 9.191529470664914, 9.265097948238626]","[1.3025825320958817, -1.6508208141291263, 3.84746023220703, 4.385891524497825]","[-0.6183034864464216, 2.045757622024684, 11.151529190731186, 11.39317256461683]"
"[0.6837670623827834, -0.8417271839415703, 5.647214959286815, 5.826442584473185]","[1.1765688513563761, -0.7926397297306856, 1.8094012388177283, 2.301670797296765]","[-0.7033026579054829, 1.324177316648921, 4.839321126906749, 5.067373360710109]","[-1.1570332558336778, 0.31018959702333376, 16.73548230362581, 16.804513257519936]"
"[-0.17571849131074901, 0.06976066287406796, 1.8010534879523599, 2.039581219447393]","[0.4468817361259159, 0.8380105308331863, 4.875401734318667, 4.9681657198438645]","[-0.5896007105327737, -2.3489846372255427, 19.45696340893128, 19.60739520010848]","[0.3184374657176041, 1.4412134435182617, 2.8980009974349388, 3.3848578606003983]"
"[1.1358990808387601, 0.08220294651613358, 17.831226632801254, 17.892177665744633]","[-1.3264873657865965, 1.1970436524585275, 5.667469032151196, 5.943387172382391]","[0.2030063190281094, -1.4995799768406095, 4.513636154235875, 4.761725172486948]","[-0.012418034080277713, 0.22033337786594737, 1.019087809448778, 1.4027099893860253]"
"[0.9303030683803373, -0.3304674591224888, 11.056997436297284, 11.140566376663507]","[0.6582376816152649, 0.24675318463705895, 10.19527621216536, 10.220028602451933]","[0.5573874859965026, 0.22709050302482772, 0.1120262325835625, 0.6212603285744525]","[-2.145928235992102, -0.14337622853939658, 7.6671197475909025, 8.018144692310106]"
"[0.6142835327802646, 0.021141157923054762, 9.92655935507166, 9.989731036566901]","[-1.5893229782594585, 0.3558930924943813, 2.1315585300027884, 2.684643887427228]","[0.7701434517620691, 1.3015300517850261, 6.417109064832619, 6.593751115633081]","[0.20489599371712827, -1.6785643022024688, 10.556192678730032, 10.731873960372779]"
"[-1.1976942896377691, 0.6274923680610794, 9.001051756325996, 9.150273512275419]","[-0.17645178903520814, -1.2628395343930805, 2.4538973627384855, 2.767431083748745]","[2.6080910469199945, 0.19111951720805542, 10.067941623234898, 10.402561113529295]","[-1.2339449682470223, 0.44422764912394785, 7.508528886337698, 7.67973429044651]"
"[0.6098989461132004, 1.1952806578394302, 5.881188648920523, 6.104867471587787]","[-1.7069705804154078, -0.9072014796140891, 17.016737845412194, 17.126508505806584]","[-0.5383489570225045, -0.059671380179903394, 0.28831546513516876, 0.6226312661117355]","[1.6354205913247026, -0.22840779804544087, 5.845177669169195, 6.145992756493863]"
"[-0.1348820126878648, 0.8853027525266005, 7.22600992469261, 7.341493574111333]","[-1.35786074251296, 0.8961077783691206, 3.833721659177758, 4.165978914915935]","[-0.3898500754176327, -0.9577868036749874, 12.88433372746047, 12.92619657347576]","[1.8825928306184931, -0.8236237272207325, 5.087354317306228, 5.566330937496928]"
"[-0.2629013150640413, -0.6158665624031112, 1.1306905002194894, 1.6146900871124537]","[1.4763083237288743, -0.1070220948882502, 5.440950614481602, 5.639685026461775]","[-0.5862315466315713, 0.03454684738592225, 19.440244511696886, 19.44939925032275]","[-0.6271754620332588, 0.6883418099054389, 3.0195340022392214, 3.296225636103107]"
"[0.006313096832747499, 1.0777155141676142, 2.1445116071374333, 2.576973993621271]","[0.46992329531149546, 0.42252879547808625, 0.3137857161573248, 0.7134308481646565]","[0.04183223777896538, 0.15856002072867303, 12.18523875082441, 12.186800164269862]","[-0.5180686299231977, -1.6588043303743614, 14.387883554517952, 14.52279499394422]"
"[-0.04319201260823433, 0.6161832456843443, 19.097056929179146, 19.13006756507955]","[0.4432016637811162, -1.0059858561977189, 0.5740177808272992, 1.2446265638006055]","[0.31021995954091147, 0.5446673145821853, 6.464257888532351, 6.495436287832285]","[-0.7102296107137943, -0.1548647040688104, 2.896087030098315, 3.1298695832875616]"
"[-0.41938953013100566, -0.4754608098837444, 1.779603023830357, 2.1093344514630585]","[1.3819106994870165, -1.4154494418215238, 6.674262562312159, 6.962048453390368]","[0.8638177771043184, 1.4758791982017139, 9.981735443735744, 10.127714778834383]","[-1.8263389464603135, 0.4150310535035544, 10.595818598758862, 10.8009023163122]"
"[-0.20362508189855014, 0.9615554346965641, 2.755894117095714, 3.0726794103191852]","[1.5747079918935254, -2.6127991051727792, 16.219175415911852, 16.50391587499186]","[-0.38173293364229866, 0.6558847850384089, 5.702152944959379, 5.753400447087353]","[-0.9893499763526717, 0.9953588854377979, 4.3541971506702115, 4.670004267601647]"
"[-0.221454471172317, -0.2814143398458937, 1.3862939133300909, 1.7118414861175575]","[-0.6389345829075588, -0.3945337175487929, 2.5881789216476347, 2.6969849830770727]","[2.323168588890585, 1.8688705337086227, 17.17701128292848, 17.434181070270792]","[-1.4627795348107102, -1.1929224763139372, 7.879935510730977, 8.156992460534646]"
